
TABLE_NAME                                                                                                                              COUNT                                                           
PWB_COLUMN_RANK                                                                                                                             0                                                           
PWB_COLUMN_RANK_A                                                                                                                           0                                                           
PWB_HIERARCHY_RANK                                                                                                                          0                                                           
PWB_HIERARCHY_RANK_A                                                                                                                        0                                                           
PWB_PARAMETER_GROUP                                                                                                                         0                                                           
PWB_PARAMETER_GROUP_A                                                                                                                       0                                                           
PWB_PARAMETER_GROUP_COMMENT                                                                                                                 0                                                           
PWB_PARAMETER_GROUP_COMMENT_A                                                                                                               0                                                           
PWB_PARAMETER_GROUP_MEMBER                                                                                                                  0                                                           
PWB_PARAMETER_GROUP_MEMBER_A                                                                                                                0                                                           
PWB_PREDICATE                                                                                                                               0                                                           
PWB_PREDICATE_A                                                                                                                             0                                                           
PWB_PREDICATE_ANCESTOR                                                                                                                      0                                                           
PWB_PREDICATE_ANCESTOR_A                                                                                                                    0                                                           
PWB_PREDICATE_VALUE                                                                                                                         0                                                           
PWB_PREDICATE_VALUE_A                                                                                                                       0                                                           
PWB_RULE                                                                                                                                    0                                                           
PWB_RULE_A                                                                                                                                  0                                                           
PWB_RULE_COMMENT                                                                                                                            0                                                           
PWB_RULE_COMMENT_A                                                                                                                          0                                                           
PWB_RULE_PARAMETER_GROUP                                                                                                                    0                                                           
PWB_RULE_PARAMETER_GROUP_A                                                                                                                  0                                                           
PWB_RULE_PARAMETER_VALUE                                                                                                                    0                                                           
PWB_RULE_PARAMETER_VALUE_A                                                                                                                  0                                                           
PWB_RULE_REPORT                                                                                                                             0                                                           
PWB_RULE_REPORT_A                                                                                                                           0                                                           
SRE_ACTION                                                                                                                                  0                                                           
SRE_ACTION_GROUP                                                                                                                            0                                                           
SRE_ACTION_GROUP_SET                                                                                                                       11                                                           
SRE_ACTION_OPTION_SET                                                                                                                       0                                                           
SRE_CHAINED_JOB                                                                                                                             0                                                           
SRE_CHAINED_JOB_SEARCH                                                                                                                      0                                                           
SRE_GLOBAL_PROPERTY                                                                                                                        13                                                           
SRE_JOB                                                                                                                                    11                                                           
SRE_JOB_SUMMARY                                                                                                                            11                                                           
SRE_JOB_SUMMARY_EXT                                                                                                                         0                                                           
SRE_JOB_TRACE                                                                                                                               0                                                           
SRE_NODE                                                                                                                                    0                                                           
SRE_NODE_CONFIG                                                                                                                           175                                                           
SRE_NODE_CONFIG_PROPS                                                                                                                   1,429                                                           
SRE_NODE_POOL                                                                                                                               2                                                           
SRE_NODE_POOL_CONFIG                                                                                                                      151                                                           
SRE_NODE_POOL_CONFIG_ROLE                                                                                                                   4                                                           
SRE_NODE_REMOTE_INTERFACE                                                                                                                   0                                                           
SRE_OPTION_INFO                                                                                                                         1,964                                                           
SRE_OPTION_OVERRIDES                                                                                                                        0                                                           
SRE_SEARCH                                                                                                                                  0                                                           
SRE_SEARCH_HIST                                                                                                                             0                                                           
SRE_SEARCH_PROMPT                                                                                                                           0                                                           
SRE_SERVICE_INFO                                                                                                                          168                                                           
SRE_SERVICE_OPTION                                                                                                                      1,158                                                           
SRE_SERVICE_OPTION_HIST                                                                                                                     0                                                           
SRE_SERVICE_OPTION_INFO                                                                                                                 1,830                                                           
SRE_SERVICE_OPTION_SET                                                                                                                     85                                                           
SRE_SERVICE_OPTION_SET_HIST                                                                                                                 0                                                           
SRE_SYSTEM_ALERT                                                                                                                            0                                                           
SSO_ATTR                                                                                                                                    0                                                           
SSO_MAP                                                                                                                                     0                                                           
SSO_SESSION_KEY_VAL_MAP                                                                                                                     0                                                           
SSO_SESSION_OBJECTS                                                                                                                         0                                                           
SYSTEM_PROPERTIES                                                                                                                         453                                                           
SYSTEM_PROPERTIES_METADATA                                                                                                                  3                                                           
VP_ANCHOR_SEARCH                                                                                                                            0                                                           
VP_CATALOG_LISTING                                                                                                                        333                                                           
VP_CAT_ACCESS_CTL                                                                                                                           0                                                           
VP_CAT_CUST_INST                                                                                                                           64                                                           
VP_CAT_EXT_DATA                                                                                                                             0                                                           
VP_CW_INSTANCE                                                                                                                              4                                                           
VP_GRID_COL_PROPERTY                                                                                                                        0                                                           
VP_GRID_PROPERTY                                                                                                                            0                                                           
VP_GRID_PROPERTY_ATTRIB                                                                                                                     0                                                           
VP_QUICKLINKS                                                                                                                               0                                                           
VP_QUICK_SEARCH                                                                                                                             0                                                           
VP_TLIST                                                                                                                                    0                                                           
VP_TLIST_ACC_CTL                                                                                                                            0                                                           
VP_TLIST_EXT_DATA                                                                                                                           0                                                           
VP_TLIST_ITEM                                                                                                                               0                                                           
VP_TLIST_STATUS                                                                                                                             0                                                           
VP_USERSETTINGS                                                                                                                             6                                                           

237 rows selected.

